id,contract_id,description,target_date,completion_date,status
1,4,Mobilization,2023-08-16,2023-08-11,Completed
2,4,Foundation Work,2023-10-15,,Pending
3,5,Mobilization,2023-08-16,2023-08-11,Completed
4,5,Foundation Work,2023-10-15,2023-10-10,Completed
5,6,Mobilization,2023-08-16,2023-08-11,Completed
6,6,Foundation Work,2023-10-15,2023-10-10,Completed
7,8,Mobilization,2023-08-16,2023-08-11,Completed
8,8,Foundation Work,2023-10-15,,Pending
9,9,Mobilization,2023-08-16,2023-08-11,Completed
10,9,Foundation Work,2023-10-15,2023-10-10,Completed
11,10,Mobilization,2023-08-16,2023-08-11,Completed
12,10,Foundation Work,2023-10-15,2023-10-10,Completed
13,12,Mobilization,2023-08-16,2023-08-11,Completed
14,12,Foundation Work,2023-10-15,,Pending
15,13,Mobilization,2023-08-16,2023-08-11,Completed
16,13,Foundation Work,2023-10-15,2023-10-10,Completed
17,14,Mobilization,2023-08-16,2023-08-11,Completed
18,14,Foundation Work,2023-10-15,2023-10-10,Completed
19,16,Mobilization,2023-08-16,2023-08-11,Completed
20,16,Foundation Work,2023-10-15,,Pending
21,17,Mobilization,2023-08-16,2023-08-11,Completed
22,17,Foundation Work,2023-10-15,2023-10-10,Completed
23,18,Mobilization,2023-08-16,2023-08-11,Completed
24,18,Foundation Work,2023-10-15,2023-10-10,Completed
25,20,Mobilization,2023-08-16,2023-08-11,Completed
26,20,Foundation Work,2023-10-15,,Pending
